date,volume,turnover,open,open,high,lable,low,close
2023/2/21 22:20,34876,505301730,716870,14465,14525,14455,14455,14510
2023/2/21 22:30,33733,489471470,713789,14515,14540,14495,14495,14505
2023/2/21 22:40,11792,171586090,713565,14505,14510,14490,14490,14505
2023/2/21 22:50,10067,145619155,711861,14505,14530,14495,14495,14525
2023/2/22 9:00,37919,548498335,710636,14440,14485,14435,14435,14455
2023/2/22 9:10,14721,212939265,710688,14460,14490,14445,14445,14480
2023/2/22 9:20,7453,107807645,711310,14480,14490,14460,14460,14465
2023/2/22 9:30,5884,85112060,711539,14465,14475,14450,14450,14455
2023/2/22 9:40,10298,148960570,711564,14455,14460,14425,14425,14435
2023/2/22 9:50,4928,71283520,711769,14435,14465,14430,14430,14460
2023/2/22 10:00,8388,121332420,712693,14465,14485,14450,14450,14475
2023/2/22 10:10,8147,117846355,712850,14480,14500,14470,14470,14485
2023/2/22 10:31,6313,91317545,712468,14485,14495,14475,14475,14495
2023/2/22 10:40,5176,74870840,712582,14495,14500,14480,14480,14490
2023/2/22 10:50,3876,56066340,712695,14490,14495,14480,14480,14485
2023/2/22 11:00,11468,165884620,712374,14485,14520,14470,14470,14510
2023/2/22 11:10,3496,50569640,712617,14510,14515,14500,14500,14500
2023/2/22 11:20,4507,66980730,712110,14500,14510,14495,14495,14495
2023/2/22 13:30,5536,80105920,712150,14490,14510,14485,14485,14505
2023/2/22 13:40,9286,134368420,712253,14505,14505,14475,14475,14490
2023/2/22 13:50,11515,166622050,711273,14490,14505,14460,14460,14465
2023/2/22 14:00,5394,78051180,710864,14465,14485,14465,14465,14465
2023/2/22 14:10,7892,114197240,709530,14465,14470,14455,14455,14465
2023/2/22 14:20,7403,107121410,708449,14465,14470,14440,14440,14455
2023/2/22 14:30,6855,99191850,709115,14455,14480,14455,14455,14475
2023/2/22 14:40,7840,113444800,708731,14480,14490,14475,14475,14480
2023/2/22 14:50,8991,130099770,705918,14480,14480,14465,14465,14465
2023/2/22 20:55,1118,16160690,705866,14465,14465,14455,14455,14455
2023/2/22 21:00,27216,393407280,706921,14460,14480,14430,14430,14440
2023/2/22 21:10,16639,240516745,706125,14445,14480,14435,14435,14470
2023/2/22 21:20,24694,357648440,706676,14470,14505,14470,14470,14495
2023/2/22 21:30,16302,236668120,706236,14490,14515,14480,14480,14480
2023/2/22 21:40,6274,90816150,706512,14485,14495,14475,14475,14485
2023/2/22 21:50,3318,48028050,706617,14485,14495,14480,14480,14485
2023/2/22 22:00,6072,87892200,706351,14480,14505,14480,14480,14500
2023/2/22 22:10,5908,85518300,706319,14495,14510,14485,14485,14485
2023/2/22 22:20,7616,110241600,707156,14485,14490,14470,14470,14475
2023/2/22 22:30,18866,273085350,707074,14470,14490,14465,14465,14490
